Best Practice Question                                                                                    ,Answer ,Category              ,Subcategory  ,Automate ,Assignee & Notes ,Solid Recommendation for this site ,Explanation
Is DB object cache implemented?                                                                           ,       ,Performance           ,Caching      ,No       ,                 ,                                   ,Object caching caches common DB queries and makes dynamic portions of the site snappier.
Is JS and CSS combined                                                                                    ,       ,Performance           ,Minification ,No       ,                 ,                                   ,JS and CSS should not be combined with HTTP/2 to allow caching optimizations. They should be combined with HTTP/1.
Which JS files are excluded from deferral or delay?                                                       ,       ,Performance           ,JS           ,No       ,                 ,                                   ,"We recommend delaying GTM, including GA. While this will drop GA numbers, you are really only excluding ""fake"" traffic. We want to try and reduce the number of scripts excluded from deferral/delay."
How are next-gen images being served?                                                                     ,       ,Performance           ,Assets       ,No       ,                 ,                                   ,"We recommend picture tags, since they are the easiest to debug and verify"
Is a CDN used?                                                                                            ,       ,Performance           ,             ,No       ,                 ,                                   ,CDNs have edge locations that serve assets faster than locations farther away from users.
Is Google Maps enabled anywhere above the fold?                                                           ,       ,Performance           ,             ,No       ,                 ,                                   ,Google Maps uses a lot of slow JS. Maps ATF can drop page speed scores by 20 points. Find alternatives to using Maps ATF.
Are there any scripts or plugins that are running on pages they don't have to be running on?              ,       ,Performance           ,             ,No       ,                 ,                                   ,Restricting scripts to only run on pages they're required on can greatly increase site performance.
What sliders are used on the site ATF and how performant are they?                                        ,       ,Performance           ,             ,No       ,                 ,                                   ,"There are many options for sliders. Putting sliders below the fold with delayed JS helps. If sliders must be ATF make sure that only performant sliders, like Smart Slider 3 are used."
Are fonts loaded with JS?                                                                                 ,       ,Performance           ,             ,No       ,                 ,                                   ,TypeKit and other solutions that load fonts via JS slow down the loading of fonts.
How many redirects are via the webserver and how many are via WP plugins?                                 ,       ,Performance           ,Redirects    ,No       ,                 ,                                   ,
Does host support Git push code updates?                                                                  ,       ,Infrastructure        ,CI/CD        ,No       ,                 ,                                   ,Hosts that support Git push make migration and updates much easier.
Does the site use version control?                                                                        ,       ,Infrastructure        ,CI/CD        ,No       ,                 ,                                   ,Adding custom functionality to version control makes managing updates easier and less error-prone.
Does the client use CI/CD?                                                                                ,       ,Infrastructure        ,CI/CD        ,No       ,                 ,                                   ,The automation of code deployment removes several chances for error between pushing code and that code going live on the production site. Solid strongly recommends using this feature if your host supports it.
Which directories are gitignored?                                                                         ,       ,Infrastructure        ,CI/CD        ,No       ,                 ,                                   ,"Since the codebase of any WordPress site needs to be able to be managed by serveral parties (offical WP devs, Plugin devs, theme devs), our process includes adding all directories escept for the theme (where we do most of our work) to the .gitignore file. This enables core, plugin, and theme updates being handled by the client, with no code deployments necessary. "
Does the host allow updates via the WordPress dashboard?                                                  ,       ,Infrastructure        ,Maintenance  ,No       ,                 ,                                   ,"The ability to update WordPress and plugins from the dashboard means faster updates, less code deployments, and an overall less error prone experience for whomever is tasked with updating the site. WPEngine and Cloudways allow this, Pantheon does not."
